Group,Excercise,TestLines,ModelLines
11,P,275,232
12,P,417,468
13,P,210,254
14,P,370,311
15,P,164,394
16,P,277,278
17,P,236,227
18,P,314,229
19,P,388,228
20,P,205,219
21,P,212,227
22,P,192,186
24,P,417,468
27,P,322,252
28,P,337,290
29,P,266,257
30,P,310,237
31,P,303,272
32,P,421,327
33,P,260,252
34,P,328,249
36,P,361,363
37,P,297,251
38,P,289,344
39,P,261,284
40,P,506,326
41,P,229,235
42,P,235,229
43,P,202,223
44,P,264,342
46,P,356,211
47,P,200,311
48,P,353,263
49,P,210,200
4,P,247,291
6,P,250,450
7,P,312,262
8,P,335,252
9,P,264,244
