Group,Time,Exercise,Cycle Number
10,74,TEL,1
10,41,TEL,2
10,162,MR,1
10,136,MR,2
10,184,MR,3
10,98,PO2,1
10,147,PO2,2
10,4,TEL,1
10,40,TL1,1
10,112,TL1,2
10,14,TL1,3
10,5,TL3,1
11,106,TL3,1
11,370,PO2,1
11,890,PO2,2
11,4,PO2,3
11,109,TL1,1
13,1036,MR,1
13,26,MR,2
13,134,PO1,1
13,1304,TL2,1
13,8,TL3,1
14,133,TEL,1
14,90,TEL,2
14,178,TEL,3
14,242,TEL,4
14,229,MR,1
14,81,MR,2
14,6,MR,3
14,33,MR,4
14,173,PO1,1
14,2,PO2,1
14,319,PO2,2
14,267,TL3,1
15,8,PO1,1
15,1,PO1,2
15,172,TEL,1
16,194,TL1,1
17,20,MR,1
17,21,PO1,1
17,44,TL2,1
17,81,TL3,1
18,2,PO1,1
18,53,PO2,1
18,3,TL1,1
19,5,MR,1
19,4,MR,2
19,2,TEL,1
19,157,TL1,1
1,176,MR,1
1,21,MR,2
1,9,MR,3
1,259,MR,4
1,53,TEL,1
1,102,TEL,2
1,86,TEL,3
1,584,TEL,4
1,102,TL3,1
1,176,MR,1
1,21,MR,2
1,9,MR,3
1,259,MR,4
1,3,PO1,1
1,87,TL2,1
20,8,TEL,1
20,151,MR,1
20,8,TEL,1
20,41,TEL,2
20,1,TEL,3
20,11,TEL,4
21,167,PO1,1
21,27,TEL,1
21,121,TL2,1
21,165,TL2,2
21,618,TL3,1
22,121,MR,1
22,320,MR,2
22,147,PO2,1
22,592,PO2,2
22,125,TEL,1
22,6,TEL,2
22,99,TEL,3
22,15,TL1,1
22,110,TL1,2
22,116,TL2,1
22,242,TL2,2
22,285,TL2,3
22,402,TL3,1
22,266,TL3,2
22,34,TL3,3
24,174,MR,1
24,2,TEL,1
2,162,MR,1
2,101,PO1,1
2,54,PO1,2
2,76,TEL,1
2,31,TEL,2
2,114,TEL,3
2,2,TEL,4
2,1,TEL,5
3,140,MR,1
3,563,MR,2
3,401,PO2,1
3,77,TEL,1
3,234,TEL,2
3,239,TEL,3
4,646,MR,1
4,53,PO1,1
4,97,PO1,2
4,501,TEL,1
4,2680,TEL,2
5,108,MR,1
5,167,MR,2
5,53,MR,3
5,2,PO1,1
5,30,PO2,1
5,86,PO2,2
5,109,TEL,1
5,120,TEL,2
5,76,TEL,3
5,26,TEL,4
5,9,TEL,5
5,7,TEL,6
5,23,TEL,7
5,34,TEL,8
5,110,TEL,9
5,55,TL1,1
5,75,TL1,2
5,522,TL1,3
5,161,TL2,1
5,1,TL2,2
6,8,MR,1
6,151,PO1,1
6,5,TL3,1
7,113,PO2,1
7,89,TEL,1
7,573,TL3,1
8,2,MR,1
8,617,PO1,1
8,467,TL3,1
8,481,TL3,2
8,581,TL3,3
8,236,TL3,4
8,462,TL3,5
9,17,TEL,1
9,111,TL3,1
9,368,TL3,2
9,190,TL3,3
9,486,MR,1
9,70,MR,2
9,6,MR,3
9,276,MR,4
9,287,PO1,1
